City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
312,Caravelas,BR,-17.7125,-39.2481,80.08,72,5,14.32,clear sky
313,Itaituba,BR,-4.2761,-55.9836,91.56,62,40,2.84,scattered clouds
314,San Anselmo,US,37.9747,-122.5616,88.11,52,1,0.0,clear sky
315,Batouri,CM,4.4333,14.3667,69.39,95,64,1.52,broken clouds
316,Nantucket,US,41.2835,-70.0995,73.74,76,40,14.97,scattered clouds
317,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,37,20,24.16,few clouds
318,Ukiah,US,39.1502,-123.2078,90.66,19,8,3.4,clear sky
319,Puno,PE,-15.8333,-70.0333,65.77,26,2,9.1,clear sky
320,Yanam,IN,16.7333,82.2167,77.09,87,5,2.33,clear sky
321,Hambantota,LK,6.1241,81.1185,79.14,100,0,4.61,clear sky
322,Nador,MA,35.174,-2.9287,73.47,68,0,12.66,clear sky
323,Henties Bay,NA,-22.116,14.2845,54.86,89,0,4.07,clear sky
324,West Plains,US,36.7281,-91.8524,73.22,77,100,1.01,overcast clouds
325,Paris,FR,48.8534,2.3488,57.97,84,0,1.99,clear sky
326,Severo-Kurilsk,RU,50.6789,156.125,47.25,80,71,40.22,broken clouds
327,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,3,11.99,light rain
328,Mukhen,RU,48.1,136.1,41.76,96,100,4.18,overcast clouds
329,Teya,RU,60.3778,92.6267,33.21,98,100,2.68,light snow
330,Mpanda,TZ,-6.3655,31.0409,75.94,55,66,3.38,broken clouds
331,Atambua,ID,-9.1061,124.8925,71.78,77,6,2.13,clear sky
332,Urdoma,RU,61.7533,48.5442,40.69,88,100,3.4,overcast clouds
333,Ciudad Bolivar,VE,8.1222,-63.5497,86.52,58,100,8.77,overcast clouds
334,Shache,CN,38.4167,77.2406,59.18,27,100,13.58,overcast clouds
335,Nola,IT,40.922,14.5329,72.43,68,0,1.52,clear sky
336,Sire,NG,12.9299,5.2043,88.11,36,43,5.7,scattered clouds
337,Sarapul,RU,56.4763,53.7978,35.42,58,97,6.13,overcast clouds
338,Merauke,ID,-8.4667,140.3333,76.42,82,93,3.6,overcast clouds
339,Buluang,PH,13.3068,123.3425,76.84,93,100,3.31,heavy intensity rain
340,Poya,NC,-21.35,165.15,71.33,94,4,5.32,clear sky
341,Portsmouth,GB,50.799,-1.0913,57.0,86,7,5.01,clear sky
342,Isla Mujeres,MX,21.2311,-86.731,86.16,70,48,10.4,scattered clouds
343,Nome,US,64.5011,-165.4064,21.27,86,1,0.0,clear sky
344,Vikhorevka,RU,56.1201,101.1636,35.19,96,57,2.98,broken clouds
345,Zabol,AF,32.25,67.25,59.02,27,0,12.91,clear sky
346,Ambon,ID,-3.6954,128.1814,77.14,88,40,9.22,scattered clouds
347,Alofi,NU,-19.0595,-169.9187,75.09,88,59,13.8,light rain
348,Kajiado,KE,-1.8524,36.7768,66.96,64,100,12.35,overcast clouds
349,Faya,SA,18.3851,42.4509,66.72,42,100,0.87,overcast clouds
350,Gizo,SB,-8.103,156.8419,81.63,78,12,7.18,few clouds
