City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
538,Clarence Town,AU,65.55,broken clouds,-32.5833,151.7833,River Downs Cottage
540,Suez,EG,72.03,clear sky,29.9737,32.5263,Green House
546,Romita,MX,72.41,broken clouds,20.8667,-101.5167,HOTEL RESTER
547,Shimoda,JP,67.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
550,San Luis,AR,64.24,clear sky,-33.295,-66.3356,Huarpes Hotel
555,Ndele,CF,71.2,scattered clouds,8.4109,20.6473,
560,Hervey Bay,AU,73.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
567,Miles City,US,72.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
569,Los Andes,CL,69.89,clear sky,-32.8337,-70.5983,Hotel Los Andes
570,Salamiyah,SY,67.95,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
573,Cheyenne,US,73.09,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
579,San Rafael,AR,64.04,clear sky,-34.6177,-68.3301,Hotel San Rafael
582,Kaihua,CN,64.47,overcast clouds,23.3687,104.28,Zhongyu Hotel
584,Kondoa,TZ,70.12,overcast clouds,-4.9,35.7833,Kinyuma Lodge
585,Longyan,CN,70.07,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
586,Karratha,AU,70.23,clear sky,-20.7377,116.8463,ibis Styles Karratha
594,Iquique,CL,62.64,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
595,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
596,Rawson,AR,60.71,few clouds,-43.3002,-65.1023,Hosteria Sampedro
606,Hasaki,JP,64.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
619,Rockhampton,AU,73.29,overcast clouds,-23.3833,150.5,Mercure Rockhampton
620,Goroka,PG,61.32,broken clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
621,Wiarton,CA,72.23,mist,44.7407,-81.1332,Waterview On The Bay
623,La Libertad,EC,74.86,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
626,Karpathos,GR,67.96,few clouds,35.507,27.2132,Alex
632,Mega,ET,70.92,overcast clouds,4.05,38.3,Amanuel Guest House
635,Along,IN,71.22,overcast clouds,28.1667,94.7667,Hotel West
637,Boyolangu,ID,74.16,broken clouds,-8.1181,111.8935,Yos ega cv
638,Hudson Bay,CA,70.11,overcast clouds,52.85,-102.3842,Norwood Motel LTD
640,Santa Maria,BR,72.7,broken clouds,-29.6842,-53.8069,Hotel Morotin
641,South Lake Tahoe,US,71.47,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
646,Namibe,AO,62.37,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
647,Shirvan,AZ,65.14,overcast clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
648,Yamada,JP,60.87,clear sky,39.4667,141.95,Iroha-ya Inn
654,Mwense,ZM,73.87,light rain,-10.3845,28.698,Mwense Council Guest House
658,Luyang,CN,73.04,clear sky,27.6239,110.0989,
659,Cabra,ES,63.7,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
661,Isiro,CD,67.14,overcast clouds,2.7739,27.616,Guest House Hewa Bora
667,Presidencia Roque Saenz Pena,AR,65.37,overcast clouds,-26.7852,-60.4388,Hotel Gualok
672,Sesimbra,PT,66.27,overcast clouds,38.4445,-9.1015,Sana Sesimbra
673,Kibiti,TZ,67.68,scattered clouds,-7.7218,38.9375,Experia Guest House
675,Gonen,TR,64.36,few clouds,40.1049,27.654,Gönen Palmiye Butik Pansiyon
682,Inongo,CD,71.98,light rain,-1.95,18.2667,Hotel Du Lac
683,Lima,PE,62.85,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
687,Roma,US,64.67,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
